Timestamp,Milliseconds,Signal Strength (dBm)
2024-12-05 15:36:46.678,1733441806678,-99
2024-12-05 15:36:47.696,1733441807696,-99
2024-12-05 15:36:48.718,1733441808718,-99
2024-12-05 15:36:49.730,1733441809730,-99
2024-12-05 15:36:50.739,1733441810739,-99
2024-12-05 15:36:51.746,1733441811746,-99
2024-12-05 15:36:52.752,1733441812752,-99
2024-12-05 15:36:53.760,1733441813760,-99
2024-12-05 15:36:54.766,1733441814766,-99
2024-12-05 15:36:55.773,1733441815773,-99
2024-12-05 15:36:56.780,1733441816780,-99
2024-12-05 15:36:57.787,1733441817787,-99
2024-12-05 15:36:58.795,1733441818795,-99
2024-12-05 15:36:59.801,1733441819801,-99
2024-12-05 15:37:00.806,1733441820806,-99
2024-12-05 15:37:01.814,1733441821814,-99
2024-12-05 15:37:02.820,1733441822820,-99
2024-12-05 15:37:03.827,1733441823827,-99
2024-12-05 15:37:04.836,1733441824836,-99
2024-12-05 15:37:05.842,1733441825842,-99
2024-12-05 15:37:06.849,1733441826849,-99
2024-12-05 15:37:07.858,1733441827858,-99
2024-12-05 15:37:08.867,1733441828867,-99
2024-12-05 15:37:09.875,1733441829875,-99
2024-12-05 15:37:10.884,1733441830884,-99
2024-12-05 15:37:11.891,1733441831891,-99
2024-12-05 15:37:12.898,1733441832898,-99
2024-12-05 15:37:13.905,1733441833905,-99
2024-12-05 15:37:14.913,1733441834913,-99
2024-12-05 15:37:15.923,1733441835923,-99
2024-12-05 15:37:16.931,1733441836931,-99
2024-12-05 15:37:17.938,1733441837938,-99
2024-12-05 15:37:18.944,1733441838944,-99
2024-12-05 15:37:19.952,1733441839952,-99
2024-12-05 15:37:20.959,1733441840959,-99
2024-12-05 15:37:21.966,1733441841966,-99
2024-12-05 15:37:22.975,1733441842975,-99
2024-12-05 15:37:23.981,1733441843981,-99
2024-12-05 15:37:24.988,1733441844988,-99
2024-12-05 15:37:25.994,1733441845994,-99
2024-12-05 15:37:27.000,1733441847000,-99
