Timestamp,Milliseconds,Signal Strength (dBm)
2025-02-12 15:29:20.774,1739402960774,-74
2025-02-12 15:29:21.795,1739402961795,-74
2025-02-12 15:29:22.809,1739402962809,-74
2025-02-12 15:29:23.828,1739402963828,-74
2025-02-12 15:29:24.842,1739402964842,-74
2025-02-12 15:29:25.858,1739402965858,-74
2025-02-12 15:29:26.872,1739402966872,-74
2025-02-12 15:29:27.887,1739402967887,-74
2025-02-12 15:29:28.908,1739402968908,-74
2025-02-12 15:29:29.929,1739402969929,-74
2025-02-12 15:29:30.940,1739402970940,-74
2025-02-12 15:29:31.962,1739402971962,-74
2025-02-12 15:29:32.988,1739402972988,-74
2025-02-12 15:29:34.003,1739402974003,-74
2025-02-12 15:29:35.019,1739402975019,-74
2025-02-12 15:29:36.043,1739402976043,-74
2025-02-12 15:29:37.066,1739402977066,-74
2025-02-12 15:29:38.092,1739402978092,-74
2025-02-12 15:29:39.114,1739402979114,-74
2025-02-12 15:29:40.132,1739402980132,-74
2025-02-12 15:29:41.148,1739402981148,-74
2025-02-12 15:35:40.426,1739403340426,-71
2025-02-12 15:35:41.435,1739403341435,-71
