Timestamp,Milliseconds,Signal Strength (dBm)
2025-02-28 14:48:27.815,1740782907815,-73
2025-02-28 14:48:28.854,1740782908854,-73
2025-02-28 14:48:29.873,1740782909873,-73
2025-02-28 14:48:30.891,1740782910891,-73
2025-02-28 14:48:31.905,1740782911905,-73
2025-02-28 14:48:32.919,1740782912919,-73
2025-02-28 14:48:33.930,1740782913930,-73
2025-02-28 14:48:34.939,1740782914939,-73
2025-02-28 14:48:35.953,1740782915953,-73
2025-02-28 14:48:36.971,1740782916971,-73
2025-02-28 14:48:37.989,1740782917989,-73
2025-02-28 14:48:39.007,1740782919007,-73
2025-02-28 14:48:40.020,1740782920020,-73
2025-02-28 14:48:41.039,1740782921039,-73
2025-02-28 14:48:42.060,1740782922060,-73
2025-02-28 14:48:43.080,1740782923080,-73
2025-02-28 14:48:44.097,1740782924097,-73
2025-02-28 14:48:45.116,1740782925116,-73
2025-02-28 14:48:46.131,1740782926131,-73
2025-02-28 14:48:47.147,1740782927147,-73
2025-02-28 14:48:48.163,1740782928163,-73
2025-02-28 14:48:49.181,1740782929181,-73
2025-02-28 14:48:50.200,1740782930200,-73
2025-02-28 14:48:51.221,1740782931221,-73
2025-02-28 14:48:52.247,1740782932247,-73
2025-02-28 14:48:53.265,1740782933265,-73
2025-02-28 14:48:54.284,1740782934284,-73
2025-02-28 14:48:55.294,1740782935294,-73
2025-02-28 14:48:56.314,1740782936314,-73
2025-02-28 14:48:57.335,1740782937335,-73
2025-02-28 14:48:58.355,1740782938355,-73
2025-02-28 14:48:59.377,1740782939377,-73
2025-02-28 14:49:00.390,1740782940390,-73
2025-02-28 14:49:01.410,1740782941410,-73
2025-02-28 14:49:02.428,1740782942428,-73
2025-02-28 14:49:03.448,1740782943448,-73
2025-02-28 14:49:04.463,1740782944463,-73
2025-02-28 14:49:05.479,1740782945479,-73
2025-02-28 14:49:06.495,1740782946495,-73
2025-02-28 14:49:07.511,1740782947511,-73
2025-02-28 14:49:08.531,1740782948531,-73
2025-02-28 14:49:09.552,1740782949552,-73
2025-02-28 14:49:10.571,1740782950571,-73
2025-02-28 14:49:11.590,1740782951590,-73
2025-02-28 14:49:12.611,1740782952611,-73
2025-02-28 14:49:13.622,1740782953622,-73
2025-02-28 14:49:14.637,1740782954637,-73
2025-02-28 14:49:15.654,1740782955654,-73
2025-02-28 14:49:16.671,1740782956671,-73
2025-02-28 14:49:17.685,1740782957685,-73
2025-02-28 14:49:18.700,1740782958700,-73
2025-02-28 14:49:19.720,1740782959720,-73
