Milliseconds,Signal Strength (dBm)
1739402960774,-74
1739402960774,-74
1739402960877,-74
1739402961000,-74
1739402961068,-74
1739402961206,-74
1739402961325,-74
1739402961382,-74
1739402961436,-74
1739402961572,-74
1739402961689,-74
1739402961748,-74
1739402961795,-74
1739402961867,-74
1739402961989,-74
1739402962093,-74
1739402962189,-74
1739402962305,-74
1739402962393,-74
1739402962451,-74
1739402962501,-74
1739402962562,-74
1739402962678,-74
1739402962809,-74
1739402962820,-74
1739402962878,-74
1739402963020,-74
1739402963076,-74
1739402963161,-74
1739402963214,-74
1739402963287,-74
1739402963346,-74
1739402963410,-74
1739402963474,-74
1739402963617,-74
1739402963757,-74
1739402963828,-74
1739402963894,-74
1739402963985,-74
1739402964111,-74
1739402964162,-74
1739402964221,-74
1739402964365,-74
1739402964437,-74
1739402964494,-74
1739402964598,-74
1739402964684,-74
1739402964825,-74
1739402964842,-74
1739402964965,-74
1739402965062,-74
1739402965132,-74
1739402965220,-74
1739402965272,-74
1739402965352,-74
1739402965481,-74
1739402965598,-74
1739402965738,-74
1739402965801,-74
1739402965858,-74
1739402965875,-74
1739402966021,-74
1739402966090,-74
1739402966226,-74
1739402966369,-74
1739402966433,-74
1739402966518,-74
1739402966578,-74
1739402966666,-74
1739402966803,-74
1739402966864,-74
1739402966872,-74
1739402966979,-74
1739402967078,-74
1739402967194,-74
1739402967252,-74
1739402967342,-74
1739402967421,-74
1739402967530,-74
1739402967675,-74
1739402967742,-74
1739402967852,-74
1739402967887,-74
1739402967997,-74
1739402968052,-74
1739402968172,-74
1739402968240,-74
1739402968297,-74
1739402968425,-74
1739402968525,-74
1739402968665,-74
1739402968792,-74
1739402968908,-74
1739402968921,-74
1739402969004,-74
1739402969116,-74
1739402969228,-74
1739402969290,-74
1739402969352,-74
1739402969439,-74
1739402969530,-74
1739402969584,-74
1739402969678,-74
1739402969768,-74
1739402969867,-74
1739402969929,-74
1739402969939,-74
1739402969995,-74
1739402970098,-74
1739402970155,-74
1739402970262,-74
1739402970360,-74
1739402970457,-74
1739402970514,-74
1739402970642,-74
1739402970698,-74
1739402970782,-74
1739402970894,-74
1739402970940,-74
1739402971020,-74
1739402971111,-74
1739402971171,-74
1739402971290,-74
1739402971344,-74
1739402971459,-74
1739402971551,-74
1739402971632,-74
1739402971749,-74
1739402971825,-74
1739402971950,-74
1739402971962,-74
1739402972004,-74
1739402972099,-74
1739402972207,-74
1739402972263,-74
1739402972316,-74
1739402972369,-74
1739402972420,-74
1739402972516,-74
1739402972596,-74
1739402972734,-74
1739402972793,-74
1739402972908,-74
1739402972988,-74
1739402973035,-74
1739402973176,-74
1739402973248,-74
1739402973322,-74
1739402973412,-74
1739402973502,-74
1739402973593,-74
1739402973700,-74
1739402973815,-74
1739402973865,-74
1739402973982,-74
1739402974003,-74
1739402974094,-74
1739402974156,-74
1739402974226,-74
1739402974282,-74
1739402974372,-74
1739402974507,-74
1739402974646,-74
1739402974750,-74
1739402974851,-74
1739402974943,-74
1739402975019,-74
1739402975081,-74
1739402975162,-74
1739402975257,-74
1739402975324,-74
1739402975469,-74
1739402975537,-74
1739402975632,-74
1739402975780,-74
1739402975919,-74
1739402976042,-74
1739402976043,-74
1739402976181,-74
1739402976256,-74
1739402976374,-74
1739402976466,-74
1739402976527,-74
1739402976653,-74
1739402976735,-74
1739402976803,-74
1739402976855,-74
1739402976922,-74
1739402977066,-74
1739402977071,-74
1739402977214,-74
1739402977334,-74
1739402977464,-74
1739402977515,-74
1739402977639,-74
1739402977703,-74
1739402977785,-74
1739402977920,-74
1739402978058,-74
1739402978092,-74
1739402978180,-74
1739402978269,-74
1739402978390,-74
1739402978529,-74
1739402978619,-74
1739402978676,-74
1739402978728,-74
1739402978859,-74
1739402978982,-74
1739402979114,-74
1739402979126,-74
1739402979224,-74
1739402979299,-74
1739402979429,-74
1739402979493,-74
1739402979573,-74
1739402979672,-74
1739402979798,-74
1739402979942,-74
1739402980058,-74
1739402980132,-74
1739402980182,-74
1739402980265,-74
1739402980410,-74
1739402980499,-74
1739402980596,-74
1739402980700,-74
1739402980792,-74
1739402980933,-74
1739402981065,-74
1739402981148,-74
1739402981206,-74
1739402981281,-74
1739402981341,-74
1739402981438,-74
1739402981511,-74
1739402981653,-74
1739402981717,-74
1739402981801,-74
1739402981941,-74
1739402982085,-74
1739402982235,-74
1739402982337,-74
1739402982475,-74
1739402982525,-74
1739402982662,-74
1739402982751,-74
1739402982845,-74
1739402982908,-74
1739402982960,-74
1739402983039,-74
1739402983116,-74
1739402983181,-74
1739402983241,-74
1739402983315,-74
1739402983444,-74
1739402983527,-74
1739402983603,-74
1739402983699,-74
1739402983781,-74
1739402983922,-74
1739402984061,-74
1739402984205,-74
1739402984345,-74
1739402984431,-74
1739402984490,-74
1739402984611,-74
1739402984697,-74
1739402984803,-74
1739402984889,-74
1739402984957,-74
1739402985036,-74
1739402985115,-74
1739402985168,-74
1739402985221,-74
1739402985295,-74
1739402985402,-74
1739402985527,-74
